,id,score,avg_conf,text,wid,agegroup,gender,hand,thirdgrade_usa,thirdgrade_usa_region,s1_dae,s1_time,s2_dae,s2_time,s3_dae,s3_time
36,w0002_s02_pLND_r02,0.4204545454545454,75.0237440154666,london,2,41-60,male,right,True,midwest,0.0,latemorning,53.0,latemorning,98.0,earlyafternoon
37,w0002_s02_pLND_r03,0.3295454545454546,71.9361103773117,london,2,41-60,male,right,True,midwest,0.0,latemorning,53.0,latemorning,98.0,earlyafternoon
38,w0002_s02_pPHR_r01,0.5714285714285714,83.7894731249128,phrase,2,41-60,male,right,True,midwest,0.0,latemorning,53.0,latemorning,98.0,earlyafternoon
39,w0002_s02_pPHR_r02,0.4285714285714286,84.69365750826321,phrase,2,41-60,male,right,True,midwest,0.0,latemorning,53.0,latemorning,98.0,earlyafternoon
40,w0002_s02_pPHR_r03,0.2857142857142857,84.56862817491803,phrase,2,41-60,male,right,True,midwest,0.0,latemorning,53.0,latemorning,98.0,earlyafternoon
41,w0002_s02_pWOZ_r01,0.3939393939393939,80.41415477521491,woz,2,41-60,male,right,True,midwest,0.0,latemorning,53.0,latemorning,98.0,earlyafternoon
42,w0002_s02_pWOZ_r02,0.4545454545454546,78.28781527280807,woz,2,41-60,male,right,True,midwest,0.0,latemorning,53.0,latemorning,98.0,earlyafternoon
43,w0002_s02_pWOZ_r03,0.3484848484848485,71.89937597332579,woz,2,41-60,male,right,True,midwest,0.0,latemorning,53.0,latemorning,98.0,earlyafternoon
44,w0002_s03_pLND_r01,0.4545454545454546,74.55449373176299,london,2,41-60,male,right,True,midwest,0.0,latemorning,53.0,latemorning,98.0,earlyafternoon
45,w0002_s03_pLND_r02,0.44318181818181823,76.15893978296324,london,2,41-60,male,right,True,midwest,0.0,latemorning,53.0,latemorning,98.0,earlyafternoon
46,w0002_s03_pLND_r03,0.34090909090909094,75.56741443757087,london,2,41-60,male,right,True,midwest,0.0,latemorning,53.0,latemorning,98.0,earlyafternoon
47,w0002_s03_pPHR_r01,0.6428571428571428,87.95210313796997,phrase,2,41-60,male,right,True,midwest,0.0,latemorning,53.0,latemorning,98.0,earlyafternoon
48,w0002_s03_pPHR_r02,0.6428571428571428,87.98329789297921,phrase,2,41-60,male,right,True,midwest,0.0,latemorning,53.0,latemorning,98.0,earlyafternoon
49,w0002_s03_pPHR_r03,0.5714285714285714,84.57999965122768,phrase,2,41-60,male,right,True,midwest,0.0,latemorning,53.0,latemorning,98.0,earlyafternoon
50,w0002_s03_pWOZ_r01,0.3939393939393939,77.43214371090843,woz,2,41-60,male,right,True,midwest,0.0,latemorning,53.0,latemorning,98.0,earlyafternoon
51,w0002_s03_pWOZ_r02,0.4242424242424242,71.03596185537485,woz,2,41-60,male,right,True,midwest,0.0,latemorning,53.0,latemorning,98.0,earlyafternoon
52,w0002_s03_pWOZ_r03,0.43939393939393945,77.96131392448179,woz,2,41-60,male,right,True,midwest,0.0,latemorning,53.0,latemorning,98.0,earlyafternoon
53,w0003_s01_pLND_r01,0.7272727272727273,90.81400292008011,london,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
54,w0003_s01_pLND_r02,0.7840909090909091,90.78295303526379,london,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
55,w0003_s01_pLND_r03,0.7386363636363636,92.02926061211562,london,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
56,w0003_s01_pPHR_r01,0.8571428571428572,91.74262346540179,phrase,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
57,w0003_s01_pPHR_r02,0.9285714285714286,96.23801449366978,phrase,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
58,w0003_s01_pPHR_r03,0.9285714285714286,97.51605224609375,phrase,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
59,w0003_s01_pWOZ_r01,0.9242424242424242,98.4348555855129,woz,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
60,w0003_s01_pWOZ_r02,0.7575757575757576,93.04597243140725,woz,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
61,w0003_s01_pWOZ_r03,0.9090909090909091,94.8736226096082,woz,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
62,w0003_s02_pLND_r01,0.75,94.85012165705363,london,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
63,w0003_s02_pLND_r02,0.875,90.69574158450207,london,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
64,w0003_s02_pLND_r03,0.8068181818181819,92.04940814063663,london,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
65,w0003_s02_pPHR_r01,1.0,94.99126543317523,phrase,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
66,w0003_s02_pPHR_r02,0.6428571428571428,92.41437666756767,phrase,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
67,w0003_s02_pPHR_r03,1.0,98.23641913277763,phrase,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
68,w0003_s02_pWOZ_r01,0.9393939393939394,96.01514827671336,woz,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
69,w0003_s02_pWOZ_r02,0.9393939393939394,96.93991925823154,woz,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
70,w0003_s02_pWOZ_r03,0.803030303030303,94.34983558654785,woz,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
71,w0003_s03_pLND_r01,0.8409090909090909,94.00640388937558,london,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
72,w0003_s03_pLND_r02,0.9204545454545454,94.12061584827512,london,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
73,w0003_s03_pLND_r03,0.8522727272727273,92.53194188497153,london,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
74,w0003_s03_pPHR_r01,1.0,97.72977556501117,phrase,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
75,w0003_s03_pPHR_r02,0.7857142857142857,99.04509969858023,phrase,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
76,w0003_s03_pPHR_r03,0.7857142857142857,96.84852189284105,phrase,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
77,w0003_s03_pWOZ_r01,0.9545454545454546,98.06382671754751,woz,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
78,w0003_s03_pWOZ_r02,0.9090909090909091,97.28607761498654,woz,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
79,w0003_s03_pWOZ_r03,0.8787878787878788,95.75964332694438,woz,3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon
80,w0004_s01_pLND_r01,0.8409090909090909,96.19753869374593,london,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
81,w0004_s01_pLND_r02,0.46590909090909094,80.052701656635,london,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
82,w0004_s01_pLND_r03,0.5113636363636364,79.54056103198559,london,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
83,w0004_s01_pPHR_r01,1.0,99.35574504307338,phrase,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
84,w0004_s01_pPHR_r02,0.6428571428571428,83.48878558476765,phrase,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
85,w0004_s01_pPHR_r03,0.4285714285714286,81.1849615914481,phrase,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
86,w0004_s01_pWOZ_r01,0.5909090909090908,86.51481877840482,woz,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
87,w0004_s01_pWOZ_r02,0.5303030303030303,81.51492651771096,woz,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
88,w0004_s01_pWOZ_r03,0.4696969696969697,83.56116396008116,woz,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
89,w0004_s02_pLND_r01,0.5795454545454546,86.69915616652546,london,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
90,w0004_s02_pLND_r02,0.5,87.199908235338,london,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
