,wid,agegroup,gender,hand,thirdgrade_usa,thirdgrade_usa_region,s1_dae,s1_time,s2_dae,s2_time,s3_dae,s3_time
83,17,25-40,male,right,False,,0,lateevening,30,lateevening,74,lateevening
84,153,41-60,male,right,True,midwest,0,earlymorning,21,latemorning,53,earlyafternoon
85,83,25-40,female,right,True,midwest,0,lateafternoon,29,latemorning,61,lateafternoon
86,322,25-40,Female,Right,True,West,0,Late Morning,70,Late Morning,148,Early Morning
87,63,18-24,female,left,True,midwest,0,earlyafternoon,21,earlyafternoon,47,earlyafternoon
88,20,61+,female,right,True,midwest,0,lateafternoon,41,earlyevening,80,earlyevening
89,36,18-24,female,right,True,midwest,0,lateevening,36,lateevening,95,lateafternoon
90,152,18-24,male,right,True,midwest,0,earlymorning,21,earlyafternoon,52,latemorning
91,126,18-24,female,right,True,midwest,0,earlyevening,42,lateevening,82,earlyevening
92,304,41-60,Male,Right,True,Midwest,0,Early Evening,71,Early Evening,194,Late Morning
93,102,25-40,Female,Right,True,Northeast,0,Early Evening,97,Late Evening,130,Early Evening
94,245,18-24,Female,Right,True,Midwest,0,Late Afternoon,48,Late Afternoon,87,Late Afternoon
95,139,61+,male,right,True,west,0,lateafternoon,41,earlymorning,80,lateafternoon
96,78,61+,male,right,True,midwest,0,earlyafternoon,39,lateafternoon,62,latemorning
97,89,25-40,male,right,True,midwest,0,lateevening,44,latemorning,73,earlyafternoon
98,30,18-24,male,right,True,midwest,0,,23,latemorning,54,lateafternoon
99,151,18-24,female,right,True,midwest,0,lateevening,23,lateevening,44,lateevening
100,73,61+,male,right,False,,0,lateevening,32,earlyevening,59,earlyafternoon
101,131,25-40,female,right,True,south,0,earlyafternoon,21,earlyafternoon,58,latemorning
102,184,18-24,Female,Left,True,Midwest,0,Early Morning,30,Late Evening,200,Late Afternoon
103,121,25-40,female,right,False,,0,earlyafternoon,21,earlyafternoon,47,lateafternoon
104,74,25-40,male,left,True,midwest,0,earlyafternoon,23,earlymorning,49,latemorning
105,6,18-24,male,right,True,midwest,0,earlyevening,42,lateevening,82,earlyevening
106,85,25-40,male,right,True,midwest,0,earlyevening,27,lateafternoon,59,lateevening
107,88,18-24,male,right,False,,0,earlyafternoon,28,earlyafternoon,53,earlyafternoon
108,288,18-24,Female,Right,True,Midwest,0,Early Evening,20,Early Evening,41,Early Evening
109,319,25-40,Female,Right,True,West,0,Early Afternoon,34,Early Morning,72,Early Morning
110,75,61+,female,right,True,midwest,0,latemorning,29,earlymorning,82,earlyafternoon
111,280,41-60,Female,Right,True,Midwest,0,Early Afternoon,28,Early Morning,53,Late Afternoon
112,160,18-24,Male,Right,True,Midwest,0,Early Evening,102,Late Morning,139,Late Afternoon
113,156,18-24,male,right,True,midwest,0,lateevening,36,lateevening,99,lateevening
114,12,18-24,male,right,True,northeast,0,earlyafternoon,21,earlyafternoon,58,latemorning
115,93,41-60,male,right,True,midwest,0,latemorning,39,lateevening,72,lateevening
116,32,18-24,male,right,True,midwest,0,earlyevening,23,lateafternoon,50,earlyafternoon
117,301,41-60,Female,Right,False,,0,Early Evening,78,Early Afternoon,137,Late Evening
118,124,18-24,female,left,True,midwest,0,earlyevening,24,earlyafternoon,52,lateevening
119,49,41-60,Female,Right,True,Northeast,0,Early Afternoon,41,Early Afternoon,77,Early Afternoon
120,279,41-60,Female,Right,True,Midwest,0,Early Afternoon,43,Late Morning,66,Early Afternoon
121,306,25-40,Male,Right,True,Midwest,0,Early Afternoon,132,Early Evening,151,Late Morning
122,91,41-60,female,right,True,midwest,0,lateevening,22,lateafternoon,43,lateevening
123,305,41-60,Female,Right,True,Midwest,0,Early Evening,48,Late Afternoon,86,Late Afternoon
124,177,18-24,Female,Right,True,Midwest,0,Early Evening,70,Early Afternoon,94,Late Morning
125,136,41-60,female,left,True,midwest,0,earlyafternoon,34,earlymorning,67,earlymorning
126,260,41-60,Female,Right,True,Northeast,0,Early Evening,55,Late Morning,108,Late Morning
127,15,41-60,female,right,True,midwest,0,lateevening,39,earlymorning,78,lateafternoon
128,143,41-60,female,right,True,midwest,0,lateafternoon,29,,55,lateafternoon
129,28,41-60,female,right,True,midwest,0,earlyafternoon,34,earlymorning,67,earlymorning
130,61,25-40,female,right,True,south,0,earlyafternoon,23,earlyafternoon,48,latemorning
131,313,18-24,Female,Right,True,West,0,Early Afternoon,48,Early Afternoon,154,Early Afternoon
132,31,41-60,male,right,True,midwest,0,lateevening,22,earlyevening,43,lateevening
133,145,25-40,male,right,True,midwest,0,lateevening,27,latemorning,62,lateevening
134,206,41-60,Female,Right,True,Midwest,0,Early Evening,45,Early Evening,80,Late Afternoon
135,144,41-60,female,right,True,midwest,0,earlyafternoon,28,lateafternoon,64,lateafternoon
136,189,18-24,Female,Right,True,Midwest,0,Late Morning,33,Late Evening,72,Early Afternoon
137,202,25-40,Female,Right,True,West,0,Early Afternoon,60,Late Afternoon,250,Early Afternoon
138,162,25-40,Female,Right,True,Midwest,0,Late Afternoon,76,Early Afternoon,116,Late Morning
139,193,61+,Female,Right,True,West,0,Early Morning,32,Late Afternoon,58,Late Afternoon
140,125,18-24,male,left,True,midwest,0,earlyevening,42,,82,earlyevening
